gameid,playerindex,moveid,movetype,cardname
141,2,11,PLAY,Barracks
141,0,12,PLAY,Stone Pit
141,1,13,PLAY,Baths
141,2,14,PLAY,Lumber Yard
141,0,15,PLAY,Workshop
141,1,16,PLAY,Loom
141,2,17,PLAY,Marketplace
141,0,18,PLAY,Press
141,1,19,UPGRADE_WONDER,Statue
141,2,20,PLAY,Brickyard
141,0,21,PLAY,Stables
141,1,22,PLAY,Aqueduct
141,2,23,PLAY,Forum
141,0,24,PLAY,Library
141,1,25,DISCARD,Quarry
141,2,26,PLAY,School
141,0,27,PLAY,Sawmill
141,1,28,UPGRADE_WONDER,Dispensary
141,2,29,PLAY,Temple
141,0,30,PLAY,Caravansery
141,1,31,UPGRADE_WONDER,Loom
141,2,32,UPGRADE_WONDER,Laboratory
141,0,33,PLAY,Courthouse
141,1,34,PLAY,Foundry
141,2,35,PLAY,Vineyard
141,0,36,PLAY,Lodge
141,1,37,PLAY,Fortifications
141,2,38,UPGRADE_WONDER,Senate
141,0,39,PLAY,Spies Guild
141,1,40,PLAY,Town Hall
141,2,41,PLAY,Siege Workshop
141,0,42,PLAY,Academy
141,1,43,PLAY,Palace
141,2,44,PLAY,Arsenal
141,0,45,PLAY,Observatory
141,1,46,PLAY,Pantheon
141,2,47,PLAY,Magistrates Guild
141,0,48,PLAY,Scientists Guild
141,1,49,PLAY,University
141,2,50,PLAY,Gardens
141,0,51,PLAY,Study
141,1,52,PLAY,Lighthouse
141,2,53,PLAY,Workers Guild
17,0,0,PLAY,Scriptorium
17,1,1,PLAY,Clay Pool
17,2,2,PLAY,Theater
17,0,3,PLAY,Timber Yard
17,1,4,PLAY,Marketplace
17,2,5,PLAY,Altar
17,0,6,PLAY,Glassworks
17,1,7,PLAY,Workshop
17,2,8,PLAY,Stone Pit
17,0,9,DISCARD,Guard Tower
17,1,10,UPGRADE_WONDER,Clay Pit
17,2,11,PLAY,East Trading Post
17,0,12,PLAY,Baths
17,1,13,PLAY,Lumber Yard
17,2,14,PLAY,West Trading Post
17,0,15,PLAY,Barracks
17,1,16,UPGRADE_WONDER,Press
17,2,17,PLAY,Loom
17,0,18,PLAY,Brickyard
17,1,19,UPGRADE_WONDER,Archery Range
17,2,20,PLAY,School
17,0,21,PLAY,Quarry
17,1,22,PLAY,Courthouse
17,2,23,UPGRADE_WONDER,Foundry
17,0,24,PLAY,Stables
17,1,25,PLAY,Library
17,2,26,UPGRADE_WONDER,Statue
17,0,27,PLAY,Sawmill
17,1,28,PLAY,Temple
17,2,29,UPGRADE_WONDER,Vineyard
17,0,30,PLAY,Press
17,1,31,PLAY,Laboratory
17,2,32,PLAY,Walls
17,0,33,PLAY,Aqueduct
17,1,34,PLAY,Forum
17,2,35,PLAY,Caravansery
17,0,36,PLAY,Study
17,1,37,PLAY,Siege Workshop
17,2,38,PLAY,Fortifications
17,0,39,PLAY,Haven
17,1,40,PLAY,Senate
17,2,41,PLAY,Arsenal
17,0,42,PLAY,Town Hall
17,1,43,PLAY,Pantheon
17,2,44,PLAY,Gardens
17,0,45,PLAY,University
17,1,46,PLAY,Observatory
17,2,47,PLAY,Palace
17,0,48,PLAY,Academy
17,1,49,PLAY,Lodge
17,2,50,PLAY,Spies Guild
17,0,51,UPGRADE_WONDER,Lighthouse
17,1,52,PLAY,Traders Guild
17,2,53,DISCARD,Scientists Guild
40,0,0,PLAY,Clay Pool
40,1,1,PLAY,Ore Vein
40,2,2,PLAY,Theater
40,0,3,PLAY,Guard Tower
40,1,4,PLAY,Altar
40,2,5,PLAY,Timber Yard
40,0,6,PLAY,East Trading Post
40,1,7,PLAY,Stockade
40,2,8,PLAY,Workshop
40,0,9,PLAY,Stone Pit
40,1,10,PLAY,Marketplace
40,2,11,PLAY,Barracks
40,0,12,PLAY,Glassworks
40,1,13,PLAY,Press
40,2,14,PLAY,Baths
40,0,15,DISCARD,Scriptorium
40,1,16,PLAY,West Trading Post
40,2,17,PLAY,Clay Pit
40,0,18,DISCARD,Temple
40,1,19,PLAY,School
40,2,20,PLAY,Foundry
40,0,21,PLAY,Brickyard
40,1,22,PLAY,Dispensary
40,2,23,PLAY,Laboratory
40,0,24,DISCARD,Courthouse
40,1,25,PLAY,Loom
40,2,26,PLAY,Archery Range
40,0,27,PLAY,Press
40,1,28,PLAY,Caravansery
40,2,29,UPGRADE_WONDER,Glassworks
40,0,30,PLAY,Quarry
40,1,31,PLAY,Vineyard
40,2,32,UPGRADE_WONDER,Forum
40,0,33,PLAY,Library
40,1,34,PLAY,Stables
40,2,35,PLAY,Aqueduct
40,0,36,PLAY,Town Hall
40,1,37,PLAY,Siege Workshop
40,2,38,PLAY,Arsenal
40,0,39,PLAY,Strategists Guild
40,1,40,UPGRADE_WONDER,Arena
40,2,41,PLAY,Gardens
40,0,42,PLAY,Palace
40,1,43,UPGRADE_WONDER,Academy
40,2,44,PLAY,Fortifications
40,0,45,PLAY,Philosophers Guild
40,1,46,PLAY,Pantheon
40,2,47,UPGRADE_WONDER,Senate
40,0,48,PLAY,University
40,1,49,PLAY,Study
40,2,50,PLAY,Scientists Guild
40,0,51,PLAY,Lighthouse
40,1,52,PLAY,Lodge
40,2,53,PLAY,Observatory
70,0,0,PLAY,Ore Vein
